Id,SalePrice
1461,119286.39566433281
1462,150160.6341938042
1463,180656.27851593023
1464,198510.72795372293
1465,189303.81735438475
1466,172342.15399930355
1467,181668.2880878743
1468,164406.22651858287
1469,189441.35516114737
1470,118829.66967198001
1471,195950.47396518497
1472,100487.96985837471
1473,96726.37944171083
1474,149604.36287879723
1475,120180.95411212921
1476,363019.92243584193
1477,242235.1707718806
1478,278527.5770072477
1479,282677.85865022324
1480,510609.4160490654
1481,336142.79382600094
1482,204710.77528071846
1483,172893.07526990998
1484,165029.51417377812
1485,179039.84426331456
1486,193977.53144775907
1487,330963.8410912963
1488,235602.11632066406
1489,192595.37021133772
1490,228693.16305459384
1491,190602.20728631323
1492,90708.87920088427
1493,183077.9114338325
1494,284463.4564503267
1495,285879.2415472409
1496,229582.6233827728
1497,183452.9149895548
1498,166108.80164585615
1499,161553.44541696674
1500,155476.4897687306
1501,174847.56090916318
1502,153884.8074318329
1503,285957.80049055704
1504,241551.7031753878
1505,225512.43874548312
1506,182447.15471746263
1507,257536.39727721887
1508,201991.77499278384
1509,157279.42667161566
1510,144429.71792662138
1511,149335.91158593277
1512,173249.90144551604
1513,146720.37016342857
1514,160940.67296345605
1515,193534.16674698767
1516,156485.906909841
1517,171302.35965209984
1518,131921.22011691087
1519,217985.00285003037
1520,129203.16341391773
1521,131473.64682062838
1522,174917.14600866474
1523,112725.6770214272
1524,122644.38003087752
1525,123648.78712530546
1526,109931.98689499797
1527,109488.400583687
1528,138105.3569087201
1529,149282.23760059255
1530,184048.63511529
1531,103087.20483339413
1532,98973.48246854397
1533,147410.44217189125
1534,125355.0433296034
1535,147852.92627010937
1536,108867.33003092019
1537,60693.41504755699
1538,148133.82077493987
1539,183879.57226474347
1540,91632.18913125928
1541,134881.81717175824
1542,139295.69026614045
1543,189128.1829071096
1544,83012.49100841084
1545,111402.51829903154
1546,131171.35202355002
1547,128138.9738233958
1548,134480.9501344395
1549,119692.19821594894
1550,132138.80433037056
1551,111186.67471491071
1552,133453.59588882848
1553,140770.20328942654
1554,118863.52878658459
1555,159725.55102436946
1556,83985.22307268812
1557,105252.54994311139
1558,96699.73879583544
1559,63590.73054785477
1560,136647.41798316094
1561,127839.05954616146
1562,131816.1218854653
1563,120441.73836098464
1564,157174.67891105675
1565,141677.2869662436
1566,234737.7810178706
1567,76229.62436174176
1568,229381.48251333451
1569,134558.1151960548
1570,136764.19566157946
1571,121287.39545827522
1572,146308.86930735043
1573,238450.43651158243
1574,118580.21351790495
1575,223917.48559595906
1576,246068.2688652888
1577,181663.1668828104
1578,144915.21981215136
1579,141808.94603600705
1580,192358.06626971663
1581,152216.02693860309
1582,124656.19497690763
1583,313875.95145664096
1584,224361.04615331322
1585,138327.19819292403
1586,72572.46921140068
1587,98887.61360222971
1588,153809.8803142691
1589,95870.97343683861
1590,139169.52932615348
1591,93921.75854209505
1592,119228.19255763698
1593,125918.47244562041
1594,129529.00791892962
1595,108313.86377241423
1596,229657.78675682814
1597,186562.50348665635
1598,217185.39111682225
1599,164043.83415709998
1600,158522.0350925712
1601,70597.18140310985
1602,112535.74589654617
1603,73053.18333039891
1604,270775.2982984612
1605,246415.41733366073
1606,169972.30738708872
1607,175996.50583667064
1608,210779.9338168961
1609,182473.85158749233
1610,148768.80161737127
1611,137932.81857766534
1612,168264.2240908693
1613,165928.87009564432
1614,126348.84269206558
1615,91160.03848581883
1616,77266.87114400187
1617,95999.14055272148
1618,127614.23146122792
1619,139225.24418118125
1620,166570.67212618736
1621,136129.5714731826
1622,142834.57470245345
1623,275590.5351861834
1624,216426.2240970783
